question,answer
È sicuro prenotare biglietti online?,"Facciamo del nostro meglio per tutelare e archiviare i dati degli utenti in modo sicuro, evitando accessi, utilizzo, alterazioni o eliminazioni non autorizzati. Prestiamo la massima attenzione alla trasmissione sicura di dati personali e finanziari attraverso canali crittografati e utilizziamo tecnologia SSL all'avanguardia. Offriamo inoltre un servizio di sicurezza online per titolari di carte VISA e MasterCard. Gli schemi di verifica tramite Verified by VISA e MasterCard Secure Code permettono di registrare una password aggiuntiva per la carta di credito in modo da evitare acquisti non autorizzati. Se la tua banca ha aderito a uno dei due schermi, ti verrà chiesto di completare la registrazione durante la procedura di pagamento. È sufficiente seguire le istruzioni online per impostare la password aggiuntiva. Alcune banche offrono inoltre la possibilità di effettuare la registrazione in un secondo momento, mentre altre richiedono la registrazione immediata per completare la transazione online. Questi schemi diventeranno presto obbligatori per tutti i titolari di carte di pagamento. Per eventuali domande, rivolgiti direttamente al circuito emittente della tua carta."
È possibile prenotare voli di collegamento?,"Wizz Air non opera voli di collegamento e non è in grado di agevolare il trasferimento di passeggeri o relativi bagagli su altri voli (operati da Wizz Air o da altri vettori). Pertanto, Wizz Air declina ogni responsabilità in caso di voli persi. In caso di prenotazione di più voli Wizz Air lo stesso giorno, i voli non vengono considerati voli di collegamento. Sarà necessario ritirare il bagaglio, uscire dall'area di transito, recarsi al check-in, consegnare il bagaglio, procedere nuovamente ai controlli di sicurezza e immigrazione per il volo successivo. Accertarsi di disporre di documenti di viaggio validi per tutti i paesi di partenza/arrivo. Consigliamo ai passeggeri di calcolare correttamente i tempi tra arrivo del primo volo e partenza del volo successivo."
"Avevo quasi completato la prenotazione quando ho visualizzato il messaggio ""Sessione scaduta"". Che significa?","Per motivi di sicurezza è previsto un limite di 30 minuti per effettuare una prenotazione. Scaduto il tempo, il sistema si disconnette automaticamente. Se il messaggio compare alla fine della procedura di prenotazione, contatta il Call center di Wizz Air , indicando la data di partenza e la rotta per verificare che la prenotazione sia andata a buon fine."
Cosa fare se due passeggeri della stessa prenotazione hanno lo stesso nome e cognome?,"Aggiungi un suffisso, ad esempio ""Jr"" (che significa junior) dopo il cognome del passeggero più giovane, in modo che il sistema consenta di prenotare il volo. Esempio: 1. Rossi / Mario; 2. Rossi Jr / Mario."
Quali richieste sono soggette ai costi di servizio del Call center?,"I costi di servizio del Call center sono previsti per tutte le operazioni disponibili online ma richieste tramite Call center. I  costi di servizio del Call center non sono rimborsabili. Eccezioni: I costi di servizio del Call center non si applicano alle richieste seguenti: aggiunta di un bambino a una prenotazione esistente aggiunta di un neonato a una prenotazione esistente aggiunta di un posto separato per un neonato (con un seggiolino auto) a una prenotazione esistente aggiunta di uno strumento musicale a una prenotazione esistente cambio di data, orario, rotta del volo solo per una parte dei passeggeri aggiunta di un posto extra in caso di passeggero con gamba rotta (ingessata) che non può essere piegata richiesta del servizio ""Meet and Assist"" per una prenotazione esistente assegnazione dei posti per PRM (passeggeri con mobilità ridotta) aggiunta di un cane guida apparecchiature sanitarie correzione del volo correzione della fattura fattura cartacea"
"Io e la mia fidanzata abbiamo appena prenotato un volo, ma al momento del viaggio saremo sposati e l'itinerario contiene il suo nome da nubile. Cosa possiamo fare?","In tali casi occorre effettuare un cambio di nome. Questa operazione è gratuita se vengono forniti documenti di viaggio e certificato di matrimonio. Contattaci tramite il modulo di reclamo o il sito web appena possibile. Ti risponderemo con le istruzioni e l'indirizzo a cui spedire la documentazione. La ricezione di una risposta potrebbe richiedere fino a 30 giorni. Se la richiesta è urgente, si consiglia di contattare il Call center di Wizz Air per correggere gratuitamente il nome."
Come fare per viaggiare con bambini?,"I neonati fino all'età di 2 anni possono viaggiare pagando il supplemento neonati in braccio all'adulto accompagnatore. Ogni viaggiatore adulto può accompagnare un solo neonato. Ai bambini di età superiore a due anni non è consentito viaggiare in braccio all'adulto accompagnatore. Il supplemento neonati può essere pagato online durante la procedura di prenotazione o tramite il call center di Wizz Air. Per saperne di più, visita la pagina Bambini e neonati. Se il bambino compie 2 anni dopo la partenza e prima del ritorno, è necessario acquistare un posto effettuando una prenotazione separata per i voli. Le cinture di sicurezza per bambini AMSAFE CARES non sono accettate sui voli Wizz Air."
I neonati possono usufruire della franchigia bagaglio?,"L'adulto che viaggia con il neonato ha diritto di portare a bordo gli accessori per il neonato (ad eccezione di carrozzine, passeggini pieghevoli e culle). Carrozzine e passeggini devono essere imbarcati con gli altri bagagli e verranno trasportati gratuitamente solo se l'utente dell'attrezzatura è un passeggero del volo. Tuttavia, se la prenotazione non incluse un bambino o un neonato, tali articoli verranno trasportati come bagaglio da stiva previo pagamento del relativo supplemento."
I bambini di età inferiore a 14 anni possono viaggiare da soli?,"I bambini di età inferiore a 14 possono viaggiare solo accompagnati da un adulto di almeno 16 anni compiuti, che si assumerà la piena responsabilità del minore. Per i alcuni minori sono previsti requisiti speciali. Per maggiori informazioni, fai clic qui ."
Come si porta un seggiolino auto a bordo?,"È possibile portare a bordo un seggiolino auto per neonati (installabile in senso contrario a quello di marcia e dotato di cintura di sicurezza) a condizione che venga acquistato un posto a sedere. Il seggiolino auto deve essere dotato di un dispositivo che consenta di installarlo saldamente alla cintura di sicurezza del posto passeggero. Il posto aggiuntivo può essere acquistato alla normale tariffa  al momento della prenotazione online. Se la prenotazione è già stata  completata e confermata, occorre rivolgersi al Call center di Wizz Air . In tal caso, i costi di servizio del Call center non verranno applicati. Se si prenota il posto aggiuntivo online, occorre inserire il codice ""NEONATO"" nel nome del passeggero. Il cognome va inserito nel campo del cognome. Se hai prenotato online, chiama il call center di Wizz Air: indica il nome completo del neonato e conferma che viaggerà su un seggiolino auto Se è stato prenotato un posto aggiuntivo, non si applica la franchigia bagaglio per neonati né il supplemento neonati."
